,ID,URL,Date,User,Tweet,Classification
0,0,https://twitter.com/evermorewoods/status/1627798744170381313,2023-02-20 22:33:58+00:00,evermorewoods,@taylorswift13 give us evermore long pond session 😭,Pos
1,1,https://twitter.com/iJanetteCamacho/status/1627795502996590592,2023-02-20 22:21:05+00:00,iJanetteCamacho,"@taylorswift13 Your music has played a significant role in their relationship, and I know that any small gesture or acknowledgment from you would mean the world to them. Thank you for taking the time to read this, and I appreciate any assistance you may be able to offer.
Best regards, Janette",Pos
2,2,https://twitter.com/Purpose_Rick/status/1627795357420728321,2023-02-20 22:20:30+00:00,Purpose_Rick,@taylorswift13 your on your own kid 😓 makes me cry every time,Pos
3,3,https://twitter.com/iJanetteCamacho/status/1627795069246767104,2023-02-20 22:19:22+00:00,iJanetteCamacho,"@taylorswift13 However, he is hoping to make this moment even more memorable by asking his girlfriend to prom during your concert. I understand that he will be quite far from the stage, so it may not be possible for you to see him or assist directly. But I wanted to reach out and see if there…",Pos
4,4,https://twitter.com/iJanetteCamacho/status/1627794976707956736,2023-02-20 22:19:00+00:00,iJanetteCamacho,"@taylorswift13 I hope this message finds you well. I am writing to share a heartwarming story about my son and his girlfriend. As a high school senior, my son has been working hard to save up for your upcoming Tampa concert, which is just a week away from his prom. He spent $1200 on two tickets…",Pos
5,5,https://twitter.com/fridaheartstay/status/1627792528861810690,2023-02-20 22:09:16+00:00,fridaheartstay,@taylorswift13 i BEG YOU to please include this one on the setlist for the eras tour,Pos
6,6,https://twitter.com/getawaycargina/status/1627781427742793729,2023-02-20 21:25:09+00:00,getawaycargina,"@taylorswift13 ..
but when is ""as soon as we can"" 😭🥺",Neg
7,7,https://twitter.com/getawayxsummer/status/1627779218179346449,2023-02-20 21:16:22+00:00,getawayxsummer,@taylorswift13 SO THE DOLLAR BILL??? https://t.co/TWkrAc3RW8,Neu
8,8,https://twitter.com/KatieJo83687/status/1627776944430551040,2023-02-20 21:07:20+00:00,KatieJo83687,@taylorswift13 When are you going to announce international dates 💗💗,Neu
9,9,https://twitter.com/willowmwatt/status/1627773663775805463,2023-02-20 20:54:18+00:00,willowmwatt,@taylorswift13 are we entering rep era tn what’s going on,Neu
10,10,https://twitter.com/drugaddictofnft/status/1627773100828905482,2023-02-20 20:52:04+00:00,drugaddictofnft,"@taylorswift13 ok, but i dont understand why people dont buy my nfts😅😅😅",Neg
11,11,https://twitter.com/sparcky012/status/1627772570819874847,2023-02-20 20:49:58+00:00,sparcky012,"@taylorswift13 when will we get a 
Europ tour?????????",Neu
12,12,https://twitter.com/oliviabensons1/status/1627771795058184192,2023-02-20 20:46:53+00:00,oliviabensons1,@taylorswift13 OMG ARE WE GETTING REP TV???????????? 🖤📞🐍🤴❤️,Pos
